transaction_id,customer_id,transaction_timestamp,transaction_amount,currency,merchant_id,merchant_category,payment_method,channel,device_type,device_id,ip_address,customer_age,customer_region,account_age_days,is_international,previous_fraud_flag,fraud_label
TXN21SZ2O,CUSTW44NGL,2023-02-23 03:11:00,2614.21,INR,MRC1EHVMP,Grocery,Credit Card,Online,Android,DEV614XR0,105.142.36.143,47,USA,2941,1,0,0
TXN9CVKLZ,CUSTXOBB9S,2023-01-31 08:11:00,33162.51,INR,MRCTJN5EK,Electronics,Credit Card,Mobile App,iOS,DEVTBUIXS,165.125.237.83,22,UK,3571,1,0,0
TXNKYOE8V,CUSTSPD4TI,2023-09-03 15:44:00,8385.89,INR,MRCZCRQQM,Travel,Wallet,Mobile App,Tablet,DEV1KRE9K,152.158.51.9,22,USA,3014,1,0,0
TXNWTOXNO,CUSTP9UHOK,2023-07-11 09:34:00,34653.93,INR,MRCK5E420,Gaming,Wallet,Online,Web,DEV3DIRO5,216.185.128.99,23,USA,3314,1,0,0
TXN6TO9BX,CUST3G9LUB,2023-09-19 11:48:00,42626.48,INR,MRCVVH81J,Travel,Net Banking,Online,iOS,DEVCMUN3H,229.234.188.144,59,UAE,1764,1,0,1
TXN45YV7S,CUSTN06ASW,2023-06-04 13:20:00,34479.21,INR,MRCVWG716,Fashion,Net Banking,Mobile App,Tablet,DEVL0PMDB,150.59.239.110,46,UAE,2030,1,0,1
TXNU85924,CUST2GCBP2,2023-09-17 20:39:00,6302.32,INR,MRCBFL1XX,Electronics,Wallet,Online,Web,DEVAFDCAW,223.210.135.72,30,India,3641,1,0,0
TXNGHVW7H,CUST9NOBAB,2023-07-09 02:10:00,17228.7,INR,MRC2DUAO0,Fashion,Net Banking,POS,Tablet,DEVSBF5NX,33.180.35.252,52,USA,3160,0,0,0
TXNZKNWTE,CUSTKHHDHV,2023-03-23 20:34:00,11037.02,INR,MRCTRV21O,Electronics,Wallet,POS,Web,DEVIVQ93M,208.118.62.48,47,Singapore,3575,1,1,1
TXN5ZEFET,CUSTWZDJN7,2023-01-26 05:21:00,12030.36,INR,MRCQORT2K,Fashion,Debit Card,POS,Android,DEVQUN8QM,109.67.162.155,41,Germany,3542,1,0,0
TXNHIQ5ZB,CUSTS7Z1QC,2023-01-21 16:21:00,30569.37,INR,MRC2ITN6X,Luxury,Net Banking,POS,Android,DEVSTZSWV,77.82.167.190,21,UK,3412,1,0,0
TXNV10J85,CUST4NUNCY,2023-10-31 01:05:00,11055.4,INR,MRCK87VWG,Travel,Credit Card,Online,Web,DEVN2PK57,15.139.181.26,63,USA,947,1,0,0
TXNH44C3L,CUSTHE7EDD,2023-06-15 15:05:00,18196.51,INR,MRCU9NYQ2,Pharma,Net Banking,POS,Android,DEVT2TCZU,7.86.192.101,65,Singapore,1439,1,0,1
TXNM64C7Q,CUSTSSLJ3I,2023-04-28 14:02:00,42819.06,INR,MRCPK2HBG,Grocery,UPI,Online,iOS,DEV20LZW0,208.232.203.60,67,Germany,1381,1,0,0
TXNJYKKQ7,CUSTWRP71J,2023-06-29 18:47:00,37195.67,INR,MRCVP3PVY,Luxury,Debit Card,POS,Tablet,DEVKH2ZO2,113.174.171.204,47,Germany,1636,1,0,0
TXNWY7XVV,CUST03WSLP,2023-09-29 18:14:00,337087.58,INR,MRCFCKMTK,Grocery,Debit Card,Mobile App,Android,DEVUBB4XD,104.8.186.197,50,UK,800,1,0,1
TXN7KF10A,CUST1XPJCC,2023-09-19 05:00:00,5517.98,INR,MRCBGK9UP,Grocery,UPI,Mobile App,Web,DEVUJXE3N,221.45.151.8,37,Germany,2121,1,0,0
TXN3QR98W,CUSTUTZLYK,2023-06-30 09:35:00,12422.18,INR,MRCJ8VRQA,Electronics,Wallet,Online,Web,DEV9H8LCO,177.26.145.130,45,Germany,3301,1,0,1
TXNMNVFHE,CUST8L473K,2023-11-23 07:39:00,24450.6,INR,MRCL2LZAA,Gaming,Wallet,POS,iOS,DEVUR63K7,81.92.146.39,38,UAE,1405,0,0,0
TXNBYFGOV,CUST1F80FK,2023-06-21 06:33:00,48469.85,INR,MRCNP6KEG,Luxury,Net Banking,Online,iOS,DEVJVAW5Q,154.201.206.136,34,India,1276,1,1,1
TXNRWVPFI,CUSTQFHWBB,2023-05-25 01:32:00,39432.11,INR,MRCUHTU20,Grocery,Wallet,Mobile App,Web,DEVXZWCAK,249.133.90.114,34,Germany,203,1,0,0
TXN8H5TNI,CUST1XBGP1,2023-12-20 21:19:00,26449.03,INR,MRCWL4XMF,Pharma,Credit Card,Online,Android,DEVGHISSN,48.98.228.64,52,USA,3456,1,0,0
TXNIEZ2BL,CUSTP379O2,2023-03-04 22:45:00,33037.82,INR,MRCLP4VV0,Fashion,Net Banking,POS,iOS,DEV4P3JOI,172.12.203.48,69,Singapore,283,1,0,0
TXNRYC9TJ,CUSTZ1ZO0F,2023-12-26 16:06:00,15154.98,INR,MRC8NIBT7,Grocery,Net Banking,Online,iOS,DEVI9Z6C6,82.163.143.32,34,USA,63,1,0,0
TXNX43BZR,CUSTOWRIF5,2023-09-07 11:21:00,37334.71,INR,MRCD4WLC1,Gaming,Net Banking,Online,Tablet,DEV7212NP,30.27.144.114,59,Germany,1896,1,0,0
TXNNQONP8,CUSTG1A65R,2023-08-06 15:27:00,19085.96,INR,MRCBSY18U,Electronics,Net Banking,POS,iOS,DEVUBBFDV,166.94.84.188,43,Germany,1168,1,0,0
TXNA58TP8,CUSTFOTHET,2023-06-14 19:28:00,47141.11,INR,MRCGWVN7C,Grocery,UPI,POS,iOS,DEVBE7M9T,215.222.64.238,58,UAE,3336,1,0,1
TXNGVO3UK,CUSTMKEQC2,2023-01-05 23:13:00,41380.6,INR,MRC8BKTNB,Grocery,Wallet,Online,iOS,DEV16R6X2,202.234.28.227,69,Germany,1084,1,0,0
TXNQVO30A,CUSTEW47MS,2023-01-30 00:35:00,21004.68,INR,MRCU5CS9W,Luxury,Debit Card,POS,Tablet,DEVEG0N78,69.15.90.16,35,Singapore,592,1,0,0
TXN4BDX9K,CUSTWMFJV9,2023-03-29 09:19:00,19311.59,INR,MRCMJBXK1,Grocery,Wallet,POS,Web,DEVRTGWQL,182.63.200.142,27,UK,3420,0,0,0
TXNS09D7F,CUSTIL4U1H,2023-09-11 03:58:00,38927.82,INR,MRCMPQ5N8,Travel,Net Banking,Mobile App,Tablet,DEVEZ4CG8,188.203.118.47,58,UK,2205,0,0,0
TXNRGY4DJ,CUSTKHADVM,2023-02-15 12:26:00,18855.72,INR,MRCKD7KKF,Grocery,Credit Card,Mobile App,Android,DEVQWRWL7,235.13.75.64,23,Germany,2896,1,0,0
TXNPWRHT4,CUST5JNXKQ,2023-12-06 19:52:00,21973.97,INR,MRCIFAM8U,Pharma,Net Banking,Mobile App,iOS,DEVEBNUYA,222.167.30.187,25,UAE,2096,0,0,0
TXNKFOG22,CUST0A8KZK,2023-03-16 09:47:00,39046.94,INR,MRCSEIZJJ,Luxury,Wallet,Online,Android,DEV3296T9,94.241.241.14,24,UAE,2630,0,0,0
TXNY1QRE8,CUSTY2QWLO,2023-09-07 05:49:00,32425.76,INR,MRCDDDPWE,Grocery,Net Banking,POS,iOS,DEVAREKF5,250.6.108.99,54,Singapore,2527,1,0,1
TXNIRZAZ9,CUSTVU3M02,2023-03-24 07:24:00,21105.36,INR,MRCTWCL1F,Luxury,Wallet,Mobile App,Tablet,DEV3HWD7D,129.49.254.212,67,UAE,3484,0,0,0
TXNZR7406,CUSTL0H8Z7,2023-02-09 21:14:00,48705.32,INR,MRCJI3COD,Electronics,UPI,POS,Android,DEVDT7T6R,215.156.132.226,48,USA,1234,1,0,0
TXNAWT56A,CUST3QZO3C,2023-06-26 22:05:00,1008.79,INR,MRCLFXAFU,Travel,Net Banking,Mobile App,Web,DEVJ9BWNE,248.226.78.113,30,UK,3292,1,0,0
TXNRNCC7N,CUSTEFGOKD,2023-05-13 13:16:00,49580.95,INR,MRC29H8D6,Gaming,Credit Card,Mobile App,iOS,DEVR2KTLS,244.83.225.243,22,India,645,1,0,0
TXN4OW60N,CUST00ZX5V,2023-02-19 01:40:00,13236.62,INR,MRC24BYYE,Travel,Wallet,Mobile App,iOS,DEVB2NKWJ,218.234.221.197,66,UK,2482,1,0,0
TXNBS7UBW,CUSTJFATIB,2023-03-16 12:44:00,42620.45,INR,MRCNKQ4RS,Electronics,UPI,POS,iOS,DEVYF97B4,253.153.199.240,48,Singapore,505,1,0,0
TXNOWQE1A,CUSTGEHA82,2023-02-16 11:56:00,29293.25,INR,MRCOBQBVT,Fashion,Debit Card,POS,Web,DEVJXHVSO,60.151.136.75,54,USA,1302,0,0,0
TXNWE9QUY,CUSTGRW1UG,2023-08-24 20:45:00,32455.18,INR,MRCRRXBW5,Gaming,Debit Card,Mobile App,Android,DEVT4MJ0P,5.75.101.156,54,USA,325,1,0,1
TXNY0VNQQ,CUSTQYOUIM,2023-03-17 10:03:00,42940.77,INR,MRC5M1YL0,Luxury,Credit Card,Online,iOS,DEVIVW46R,5.3.14.34,63,UAE,3510,1,0,0
TXN796M9V,CUSTC791ML,2023-12-04 02:16:00,45906.14,INR,MRCRU2HKO,Fashion,Debit Card,POS,Web,DEVZMOOID,228.23.191.242,27,UAE,2540,1,0,0
TXNJLF2DJ,CUSTMUO2MR,2023-11-05 00:04:00,8090.65,INR,MRCKAILSB,Electronics,Credit Card,Online,Web,DEV4HLXYD,96.204.122.183,49,UAE,2368,0,0,0
TXNK91DGI,CUSTHDWWFT,2023-05-31 00:54:00,1485.47,INR,MRCDVE5HD,Gaming,Credit Card,Online,Android,DEVIBIP5M,175.140.200.155,33,Germany,1682,0,0,0
TXN99JA1K,CUSTYAK6SS,2023-06-16 09:20:00,17081.65,INR,MRC73CGOG,Electronics,Credit Card,Mobile App,iOS,DEVEGB4YG,39.117.34.175,24,USA,3578,1,0,1
TXNYTGBH2,CUSTUC8XRK,2023-05-30 13:34:00,40385.15,INR,MRC6N3EKK,Grocery,Debit Card,Online,iOS,DEVFNZXBE,216.194.138.47,64,USA,643,1,0,1
TXNM0XKWC,CUSTRC7J0M,2023-02-23 05:43:00,21409.89,INR,MRCEXOG8O,Electronics,Debit Card,Online,Tablet,DEVO3ASOV,203.20.225.82,31,UK,3043,1,0,1
TXNKH7QF3,CUSTH779I5,2023-02-03 00:57:00,14442,INR,MRC8VS9ZC,Grocery,Debit Card,POS,Tablet,DEVMZ4F6Y,92.7.246.116,40,UK,1799,1,0,0
TXNFXAKS7,CUSTHKFC8Y,2023-02-06 04:44:00,24034.9,INR,MRC8TKZKE,Luxury,UPI,Online,iOS,DEV6TDOD2,244.41.218.25,22,India,1685,1,0,0
TXNNQ740M,CUSTQQBRD7,2023-10-07 00:28:00,47415.1,INR,MRCW52D5I,Luxury,Debit Card,POS,Android,DEVH69YEL,185.102.230.98,44,Germany,635,1,0,0
TXNHKQHSR,CUSTHF7BMI,2023-04-14 08:34:00,13958.03,INR,MRCF7B6HF,Travel,Wallet,Online,Web,DEV0DX9V4,127.145.64.203,29,Germany,153,1,0,1
TXNTJTK3Q,CUST7LVQQQ,2023-12-20 01:18:00,40905.44,INR,MRCPLQT2M,Travel,UPI,Mobile App,iOS,DEV5N0WU5,75.125.91.28,55,India,2568,0,0,0
TXNS0TYNB,CUSTI28CLA,2023-06-20 09:27:00,38034.38,INR,MRCU0YPAR,Travel,Debit Card,Mobile App,Web,DEVAN6DDN,12.219.106.193,64,USA,3252,0,1,1
TXN6LXKK0,CUSTKU3IT1,2023-01-12 03:07:00,35242.79,INR,MRCT7P4NB,Electronics,Debit Card,POS,iOS,DEV30FLSX,149.13.65.136,67,India,2673,0,0,0
TXNE1UR5C,CUST2GVP9D,2023-11-09 06:27:00,8879.92,INR,MRCV00ZYF,Grocery,Wallet,Mobile App,iOS,DEVK0CHKG,49.97.154.31,46,UAE,2267,1,0,0
TXNWVY703,CUST5HQOMA,2023-05-22 07:48:00,14341.81,INR,MRC4IUF1E,Electronics,Net Banking,Mobile App,Android,DEVLWVEY8,196.46.141.115,28,UK,1165,0,0,0
TXNGEV56L,CUST1NDJ95,2023-11-22 02:59:00,38415.78,INR,MRCP60XAZ,Grocery,Net Banking,Mobile App,Web,DEVRYN285,76.79.109.163,61,USA,1470,1,0,1
TXNMZRYIK,CUSTYIE66W,2023-07-03 23:56:00,34456.66,INR,MRC03SG1W,Grocery,Wallet,POS,Android,DEV808IYN,242.159.80.18,43,Singapore,2084,0,0,0
TXNFVQ6UM,CUST2T9RE0,2023-01-27 11:42:00,21812.29,INR,MRC4KCI5W,Pharma,Debit Card,Online,Android,DEV2YA97H,30.161.101.119,67,USA,2533,1,0,0
TXNWF43KV,CUSTLDEI59,2023-07-06 21:33:00,10783.38,INR,MRCATQNKK,Luxury,Credit Card,Online,iOS,DEV2JUZPE,12.242.157.217,51,UK,2291,1,0,0
TXN8GYUQX,CUSTKEI5ES,2023-12-14 07:36:00,3657.1,INR,MRC97XYD5,Gaming,Credit Card,Mobile App,Android,DEVR1VGKK,34.200.80.199,47,UAE,2965,1,0,1
TXNUR6XRM,CUSTOEV1VK,2023-08-20 02:32:00,13752.74,INR,MRCHS2KKO,Luxury,Debit Card,Mobile App,iOS,DEVRXER9X,191.252.43.12,19,UAE,1847,1,0,0
TXNO93AH6,CUSTWVZHYC,2023-07-05 15:17:00,44563.84,INR,MRCSV88Y6,Gaming,Credit Card,Mobile App,Android,DEVLN0AAF,20.202.198.229,64,Germany,1145,1,1,1
TXNTDLY5V,CUSTSU8RU2,2023-07-03 04:35:00,16589.05,INR,MRCP08CAJ,Luxury,UPI,Online,Tablet,DEVDQ1A0Z,241.229.32.56,69,USA,3488,1,0,0
TXNBBDYFJ,CUSTO371L3,2023-09-12 22:41:00,31520.97,INR,MRCIMRIUF,Gaming,Net Banking,Mobile App,Android,DEVRUIELR,100.134.42.84,66,India,1879,1,0,0
TXNSJELCT,CUSTQV6YUF,2023-01-11 13:42:00,47435.31,INR,MRCLPXB9F,Gaming,Credit Card,Mobile App,Android,DEVZWSI4G,17.99.187.162,30,USA,107,1,0,0
TXNH1AKEE,CUSTRSYGKF,2023-01-24 11:49:00,41307.23,INR,MRCY7S0UB,Gaming,Wallet,POS,Android,DEVD95LD1,9.212.32.178,35,UAE,2486,0,0,0
TXN4RCU6S,CUST3IFPDI,2023-09-27 13:13:00,38996.39,INR,MRCD63BZN,Luxury,Debit Card,Online,Android,DEVEL34TD,83.130.140.9,50,Singapore,1292,1,0,0
TXNPBOC7S,CUSTT5HXKJ,2023-07-05 09:11:00,31524.56,INR,MRC1PDOCT,Gaming,Debit Card,Mobile App,Android,DEVDQPKFZ,242.244.233.129,55,USA,1834,1,0,1
TXNI0WN1E,CUSTG47BGG,2023-03-19 15:13:00,18587.66,INR,MRCBS9FMI,Luxury,Debit Card,Online,Android,DEVFGGUOJ,22.76.21.51,66,USA,2710,1,0,0
TXNKM5ZTU,CUSTVZW6MG,2023-07-17 04:50:00,14501.02,INR,MRC60J6SS,Luxury,UPI,Mobile App,Web,DEVRTVDTO,33.209.24.150,37,UAE,601,1,0,1
TXN1LQHDY,CUSTN0RZM9,2023-04-03 09:15:00,529878.25,INR,MRCG2SDRU,Electronics,Wallet,Mobile App,Tablet,DEVKN3IVU,21.19.180.82,62,Singapore,2982,1,0,1
TXN6GVSJ9,CUSTFE8JMO,2023-11-30 09:12:00,13904.66,INR,MRCHJU453,Travel,UPI,Mobile App,Tablet,DEVT7MY48,238.147.52.36,37,Singapore,558,0,0,0
TXNYHVMAB,CUST5AEIFY,2023-03-11 10:30:00,8135.03,INR,MRCEBY8RQ,Luxury,Credit Card,POS,Tablet,DEVAZDA0Y,94.91.111.151,47,India,1239,1,0,0
TXNLP7PD9,CUST2FHYIA,2023-06-12 15:22:00,22538.34,INR,MRC8OED7Z,Travel,Credit Card,POS,Web,DEVDVZWDV,169.153.103.160,56,UAE,436,1,0,0
TXNPXUWAJ,CUST7JEH3V,2023-07-18 22:21:00,15152.88,INR,MRCFOU3ZX,Electronics,Credit Card,POS,Tablet,DEVQ2PV7B,90.59.114.215,36,Singapore,761,1,0,0
TXN9WLMY1,CUSTCLOR71,2023-06-24 02:47:00,34123.49,INR,MRCX40TLK,Grocery,Credit Card,POS,Web,DEVVSFRCH,79.91.96.152,41,UAE,2308,1,0,0
TXN6GVW7J,CUST9X9RYB,2023-12-17 00:10:00,899562.57,INR,MRCBUYKKD,Travel,Debit Card,Online,Tablet,DEVS44EQV,247.244.197.183,21,UAE,87,1,0,1
TXN7S1BC7,CUSTSW56GW,2023-11-02 12:28:00,24208.63,INR,MRCIYLDMJ,Fashion,Net Banking,Online,Android,DEVBTCQ9Y,36.106.245.205,24,USA,2011,1,0,0
TXN3E6421,CUSTUTCN38,2023-11-14 07:25:00,3392.75,INR,MRC176RZM,Gaming,Credit Card,Online,Web,DEVQDC501,33.192.166.131,49,USA,3178,1,0,0
TXND608PB,CUSTQMO4VE,2023-12-31 14:02:00,4314.53,INR,MRCO0A2SA,Pharma,Net Banking,Online,iOS,DEVOPGGG6,31.19.97.237,60,Singapore,1228,1,0,0
TXNJ05Y8H,CUSTRBZTZA,2023-03-30 06:42:00,18220.49,INR,MRCF24GEX,Pharma,Net Banking,Online,Web,DEVVBTM88,123.219.72.121,35,USA,312,1,0,0
TXNYULFZ3,CUST2UCJ3I,2023-05-31 12:51:00,3959.88,INR,MRCSD275P,Travel,Wallet,Online,Web,DEVHQAULR,207.169.102.96,44,Singapore,2581,1,0,0
TXNX41W1R,CUSTEOFFJO,2023-06-30 01:23:00,13802.13,INR,MRCI59YN7,Electronics,UPI,Mobile App,Web,DEVHTOPI1,128.227.163.15,24,UK,286,1,0,0
TXN5UMA3A,CUSTZDP00X,2023-04-28 07:19:00,7742.23,INR,MRCG0DWXM,Grocery,UPI,POS,Android,DEVY2HOH7,204.36.250.199,36,Singapore,2894,1,0,0
TXNVVM8R6,CUSTHQ6L7V,2023-08-17 03:58:00,20773.54,INR,MRCBBBWI1,Gaming,UPI,POS,iOS,DEVCT0NF5,236.177.123.110,34,UK,1720,1,0,1
TXN2Y5YEM,CUST21K5UK,2023-08-14 06:34:00,16095.86,INR,MRCTU2VYH,Luxury,Debit Card,POS,Web,DEVQB9K5B,172.250.26.188,58,Germany,303,0,0,0
TXNBVU288,CUSTMS1HZX,2023-04-03 22:50:00,21432.86,INR,MRCOD8TW1,Pharma,Debit Card,Online,Web,DEVHCHBY0,204.106.124.172,30,India,3281,0,0,0
TXN3IIABT,CUSTWJMB4B,2023-04-30 09:02:00,5313.85,INR,MRCPKZH3X,Gaming,Net Banking,Online,Android,DEVOTYADG,135.15.18.145,28,India,2429,0,0,0
TXNUOBHEH,CUSTXC6VPR,2023-05-22 08:44:00,32134.82,INR,MRCHSK6IH,Luxury,UPI,Online,Android,DEV19MN0Z,250.214.254.71,60,Singapore,1402,1,0,0
TXN86C9C2,CUSTEJJ4QR,2023-05-01 21:21:00,11659.86,INR,MRC220B7Q,Gaming,Debit Card,Online,Tablet,DEV1UK038,104.50.247.154,66,India,2823,1,0,0
TXN4HGK0T,CUSTXNHLD0,2023-10-22 23:49:00,31240.35,INR,MRCDLSVU3,Luxury,Debit Card,Mobile App,Android,DEVMQXJIS,22.88.152.60,62,UAE,3061,1,0,0
TXN7EGLZZ,CUSTVWXMN5,2023-09-21 09:24:00,47605.97,INR,MRCFVWIZI,Fashion,Debit Card,Mobile App,Tablet,DEVXBI9NR,139.147.107.158,20,Germany,1770,1,0,0
TXNHF1YS3,CUSTK4FK1W,2023-11-03 14:47:00,49227.35,INR,MRCLM6YHM,Electronics,Wallet,POS,Web,DEVICA5CY,89.89.1.103,65,Singapore,2919,0,0,0
TXN6QG2FH,CUST7W87L3,2023-11-16 15:31:00,25370.65,INR,MRCCLJXTW,Grocery,UPI,Online,iOS,DEVAQ8MAS,92.255.159.47,69,Germany,258,1,0,0
TXN8O9BM6,CUST0ZOSLS,2023-05-13 04:14:00,35379.68,INR,MRCYPDY5T,Pharma,Wallet,Online,Android,DEV57G03C,48.130.41.216,66,UAE,3623,0,0,0
TXNS4X4LQ,CUSTKN2HVB,2023-10-15 02:10:00,30066.73,INR,MRCWP8M7I,Travel,Credit Card,Online,Tablet,DEVJP9W49,237.195.33.25,65,India,2035,1,0,0
TXNEXB49C,CUSTNCJRAW,2023-09-04 08:15:00,39254.7,INR,MRCY8FFQ2,Fashion,Credit Card,Online,Android,DEVL8GJEF,115.186.194.118,25,UAE,1169,1,0,1
TXN1L0PO8,CUSTODJQRT,2023-12-19 17:46:00,38232.08,INR,MRCBW5NBW,Travel,Debit Card,Mobile App,Web,DEVUVHNVP,103.178.198.234,41,UAE,1010,1,0,0
TXNTTSYF4,CUSTCP7A7D,2023-10-02 02:34:00,15097.68,INR,MRC8F3FA8,Gaming,Credit Card,Online,Web,DEV0FSVIK,211.169.125.128,27,UK,14,1,0,0
TXN6G29ZJ,CUSTH2B0I5,2023-09-20 14:09:00,24438.28,INR,MRCBAOVPH,Luxury,Debit Card,Mobile App,Tablet,DEV9B6Y1B,24.7.53.173,59,Germany,176,1,0,0
TXNH6J43T,CUST6YO6NZ,2023-03-25 09:28:00,1298.39,INR,MRC9CBVJA,Grocery,Credit Card,Online,Tablet,DEVR67KI3,108.47.5.128,53,UAE,1545,1,0,0
TXN52BBJP,CUSTA2STYD,2023-08-31 20:08:00,45147.66,INR,MRCQT8KT1,Travel,UPI,Online,Web,DEVHLKIF3,221.6.242.115,33,Singapore,82,1,0,0
TXNNL3M7D,CUSTABWG70,2023-08-04 21:51:00,33104.98,INR,MRCROZM70,Fashion,Debit Card,POS,iOS,DEVAO2F4L,147.85.104.38,53,Singapore,3393,1,0,1
TXN0R3NG9,CUST0NMBL6,2023-04-10 23:10:00,25809.42,INR,MRCICFRQG,Travel,Credit Card,Mobile App,Tablet,DEVQ68YEG,2.46.216.100,62,Singapore,2171,1,0,0
TXNN35O4X,CUSTQQX0I9,2023-03-12 05:32:00,38775.87,INR,MRCE9E1JT,Fashion,Debit Card,Mobile App,Android,DEV1SWMM6,33.51.194.117,29,UK,869,1,0,0
TXN858FL5,CUSTAZKPTF,2023-07-08 17:53:00,12373.62,INR,MRCGASX5F,Travel,Wallet,Online,Android,DEVPSJ779,189.138.244.149,66,India,1892,1,0,0
TXNRL5B04,CUST6B215P,2023-10-06 05:16:00,15348,INR,MRCR4089V,Gaming,Wallet,Mobile App,Android,DEVX9VR9Q,180.140.15.125,18,UAE,1418,1,0,0
TXNBFQ7R8,CUSTXTFRYD,2023-01-10 12:31:00,39831.65,INR,MRCXDM6EP,Fashion,Credit Card,Mobile App,iOS,DEVJYN5QD,9.251.5.205,48,UK,2706,0,0,0
TXN90QK4Y,CUSTX63TCS,2023-09-01 14:30:00,23221.46,INR,MRCR51F62,Grocery,UPI,Online,iOS,DEVK2SZ60,233.83.196.89,48,UAE,1839,1,0,0
TXN8PF3JT,CUST13USNQ,2023-09-08 18:41:00,33816.21,INR,MRCK35K2R,Travel,Wallet,POS,Android,DEVKTHHPH,20.154.38.142,66,UK,636,1,0,1
TXN8ABSPY,CUSTVOW2PB,2023-09-08 08:25:00,11361.93,INR,MRCK8M6FG,Gaming,Net Banking,POS,Android,DEVT2LXF0,153.253.91.94,56,India,3304,1,0,1
TXN1HCRO4,CUST6M1SAO,2023-06-25 05:07:00,35287.15,INR,MRCK6IN4S,Grocery,Debit Card,Online,Web,DEVXJ1NBA,31.215.94.149,37,UAE,753,1,0,1
